img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET
en/fa/95/en_10479755.jpg,"EURO
00:00
PT SAL ÇAR PER
IŞIK
MOD
BAŞLAT
SIFIRLA","EURO
IGH
PA SALI ÇAR
YILDIZ","EURO
00:00
MO TU WE TH
LIGHT
MODE
START
RESET",4.955725306405571,13.974941269811206,13.20093579167873,81.81818181818183,0.5957663655281067,0.5316442251205444,0.5618817806243896,0.10416666666666666,0.6069756150245667
en/fa/95/en_10479755.jpg,"24.6""
12.5""
35""
25.5""
3.74""
41.3""
25.4""
23.0""
MAKS
330
LBS","24.6""
25.5
18.1
Yuvarlatılmış ve Genişletilmiş Kolçaklar
35
0.
41.3""
330
25.4""
16.7""
LBS
23.0","24.6""
12.5""
35""
25.5""
3.74""
41.3""
25.4""
23.0""
MAX
330
LBS",8.961672320242714,29.203141290132802,32.75027080995063,109.09090909090908,0.6570339202880859,0.772779107093811,0.7102217078208923,0.44883040935672514,0.5727916955947876
en/fa/95/en_10479755.jpg,Uygulama Senaryoları,"Uygulama Senaryoları
ATSAFEPRO",Application Scenarios,55.03212081491043,90.10186468719992,89.48584450670843,50.0,0.6237720847129822,0.9216727614402771,0.7440106868743896,0.8928571428571429,0.7903397083282471
en/fa/95/en_10479755.jpg,"adidas
PARLEY","PARLEY
adidas","adidas
PARLEY",70.71067811865478,69.35786435786436,64.51839826839827,50.0,0.8114131689071655,0.8114131689071655,0.8114132285118103,0.5,0.967773973941803
en/fa/95/en_10479755.jpg,"CASSETIFY
NO: 0907501072
SEN SEN OL
# 395
230 V~ 50 Hz 16 W
Her Hakkı Saklıdır.","iF  
A  
CASETiFY  
12/204ml  
(12)345678(91)0111234562934  
NR.0807501072  
IC5373A-RM017  
Steril  
230VA  
ÖZELLİKLER:  
50 Hz 16.8W  
KENDİN OLMANA İZİN VER  
CE  
NG4701BN02T  
DINDVGW  
Tüm Hakları Saklıdır.  
18/11/1980","CASSETIFY
NR. 0907501072
LE YOU DO YOU
# 395
230 V~ 50 Hz 16 W
All Rights Reserved.",3.118961530765676,30.68771339072953,27.58972108195792,172.22222222222223,0.5513452887535095,0.702494740486145,0.617809534072876,0.24572649572649571,0.5768536925315857
en/fa/95/en_10479755.jpg,"Hafif
Yumuşak
Yıkanabilir
Ergonomi
Kaymaz
Sessiz","Hafif
Yumuşak
Yıkanabilir Ergonomi Kaymaz Sessiz","Lightweight
Soft
Washable
Ergonomics
Anti-Slip
No Noise",100.00000000000004,100.0,100.0,0.0,0.9999794960021973,0.9999794960021973,0.9999794960021973,0.9976851851851852,0.9727544188499451
en/fa/95/en_10479755.jpg,"FINON
MOTO 5G
g 53J
53Y","50MP
FINON
MOTO5G
g
53J
53Y","FINON
MOTO 5G
g 53J
53Y",32.46679154750991,95.04631066603756,84.72595952036882,50.0,0.7800933122634888,0.871852457523346,0.8234243988990784,0.625,0.9035331606864929
en/fa/95/en_10479755.jpg,"XTU
4K30
01:39:53","01:39:53
01:39:53
4K30
XTU","XTU
4K30
01:39:53",21.02241038134286,55.13604560893741,53.136986792106455,100.0,0.7705138921737671,0.7833211421966553,0.776864767074585,0.48387096774193544,0.8968477845191956
en/fa/95/en_10479755.jpg,"x 14
x 6
x 2
x 8
x 1
x 2
x 2
x 1
x 1
x 1
x 1
x 1
x 1
x 1","x14
x8
x2
x6
x1
x2
x8
x2
x1
x2
x2
x1
x1
x2
x1
x1
x1
x1
X
X","x 14
x 6
x 2
x 8
x 1
x 2
x 2
x 1
x 1
x 1
x 1
x 1
x 1
x 1",1.526224626575085,66.49445487710739,49.87084115783055,92.85714285714286,0.764192521572113,0.7848348617553711,0.7743761539459229,0.036764705882352935,0.8459548354148865
en/fa/95/en_10479755.jpg,"JM4000Xi
3500 Başlangıç Watt
3200 Çalışma Watt","3200
3500
JESIMAIK
BAŞLANGIÇ WATT
223.
INVERTER
JENERATÖR
JM4000Xi","JM4000Xi
3500 Starting Watts
3200 Running Watts",6.742555929751843,22.208614486903418,21.591251967165135,100.0,0.5181171894073486,0.670390248298645,0.5844990015029907,0.2777777777777778,0.51502925157547
