img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET
it/43/53/it_10412664.jpg,"Hund
Katze
Vater
Bus
Milch","S  
PersoneD  
Vater  
Nahrungsmittel  
Milch  
Tiere  
49  
ler  
Katze  
QVelcoll  
Bus  
Hund  
Hund  
Tiere  
Bus","Cane
Gatto
Padre
Autobus
Latte",3.9297193407553004,32.454253482184406,33.31697634264332,260.0,0.6979827880859375,0.8061880469322205,0.7481934428215027,0.4166666666666667,0.4864540994167328
it/8f/ac/it_10417366.jpg,"Schnee
Sandsturm
Sonne
Staub
Hagel
Regen","Neve  
Sandsturm  
Sonne  
Hagel  
Staub  
Regen","Neve
Tempesta di sabbia
Sole
Polvere
Grandine
Pioggia",20.412414523193146,61.82650645779377,59.292706011491866,33.33333333333333,0.9189801812171936,0.8858729004859924,0.9021228551864624,0.6200000000000001,0.9123604893684387
it/03/d9/it_10388340.jpg,"Einfache Montage
Nur wenige Schritte
1
2
3
4
5","Einfache Montage  
Nur wenige Schritte erforderlich","Montaggio semplice
Bastano pochi passaggi
1
2
3
4
5",39.01126486653949,82.13322436194494,75.45541034764382,50.0,0.8887990713119507,0.7543414235115051,0.8160688877105713,0.51875,0.8712624311447144
it/97/1b/it_10400237.jpg,"Installation
1
2
3
4","Installation
IM
M","installazione
1
2
3
4",14.127216461522432,70.94473596234124,55.999822712117975,80.0,0.8493345975875854,0.7761995792388916,0.8111218810081482,0.10416666666666666,0.4273320138454437
it/06/41/it_10408485.jpg,"Draußen
Auto
Mensch
Sofa
Bett
Böden","All'aperto  
Divano  
Auto  
Umano  
Letto  
Pavimenti","All'aperto
Auto
Umano
Divano
Letto
Pavimenti",5.522397783539471,14.413293242710909,12.915971952688935,100.0,0.7400223612785339,0.7491014003753662,0.7445341944694519,0.08333333333333333,0.6581823825836182
it/43/44/it_10412741.jpg,Gut!,"Buono!
trodat
printy4910",Buono!,15.97357760615681,9.868421052631579,14.397018970189702,300.0,0.5667873620986938,0.6501755714416504,0.6056244969367981,0.22727272727272727,0.4508199691772461
it/e9/ba/it_10405277.jpg,"Oberschenkel
Waden
Gesäß
Bauch
Schultern
Arme","Waden
Gesäß
Knöchel
Bauchmuskeln
Schultern
Arme","Cosce
Caviglie
Glutei
Abs
Spalle
Braccia",22.957488466614336,59.44910202261278,57.924597807543144,50.0,0.8548569083213806,0.8823671936988831,0.8683941960334778,0.625,0.8500156998634338
it/9a/ca/it_10388965.jpg,Riccardo,Riccardo,Riccardo,100.00000000000004,100.0,100.0,0.0,1.000142216682434,1.000142216682434,1.000142216682434,0.5,0.9948388934135437
it/e2/91/it_10381137.jpg,Diletta,"25
Y",Diletta,0.0,0.0,0.0,200.0,0.6965896487236023,0.6938742995262146,0.6952293515205383,0.0,0.47428983449935913
it/14/cd/it_10360277.jpg,"Jeden Bedarf erfüllen
AC 4000W/16A
USB C 15W/3.0
USB A 12W/2.4","Jede Art von Anforderung erfüllen  
15W/3.0A  
USB.C  
12W/2.4A","Soddisfare ogni tipo di esigenza
AC 4000W/16A
USB C 15W/3.0
USB A 12W/2.4",7.456500977172462,39.03663302786913,30.4932958863079,70.58823529411765,0.8082948923110962,0.8330659866333008,0.8204935193061829,0.04672897196261682,0.815994918346405
it/6b/28/it_10388036.jpg,"FREITAG
MORGEN
11:56
A.M.
10,
JUNI
2022","248 mm  
222 mm  
FREITAG  
10,1 Zoll  
MORGEN  
11:56  
UHR  
10.  
JUNI  
2022  
TROCOTN","VENERDÌ
MATTINA
11:56
A.M.
10,
GIUGNO
2022",8.549161846379198,54.96765964453496,52.52767509819889,100.0,0.7363373041152954,0.7987138032913208,0.7662582397460938,0.5874840357598978,0.49742648005485535
it/c0/75/it_10394247.jpg,"SPITZENSTROM
6000A
26800 mAh
Lass uns weitermachen!
4.0L
6.0L
8.5L","CORRENTE  
6000A  
26800mAh  
DIPICCO  
24  
TCP1197  
Andiamo avanti!  
8,5L  
FE  
4,0L  
6,0L","CORRENTE DI PICCO
6000A
26800 mAh
Andiamo avanti !
4.0L
6.0L
8.5L",3.673526562988939,27.782130780780918,23.02993349711023,90.0,0.8025856018066406,0.83310866355896,0.8175623416900635,0.08928571428571429,0.6701168417930603
it/ee/e5/it_10373217.jpg,"Frauen
Männer
Älterer
Junge
Kinder
Kind","Männer
Frauen
Älterer Mann
Jugendliche
Kinder
Kind","Donne
Uomini
Anziano
Giovani
Bambini
Bambino",16.515821590069034,61.61904767641059,58.72183425300372,50.0,0.9029737114906311,0.9337011575698853,0.9180803298950195,0.6098360655737705,0.9477396011352539
it/90/80/it_10379274.jpg,Perfekt!,"trodat
printy4912
Perfetto!
18mm
47mm",Perfetto!,8.116697886877475,24.44093812865299,23.004176615769474,500.0,0.594497561454773,0.7581599354743958,0.666427731513977,0.20833333333333334,0.46917101740837097
it/9c/6e/it_10396800.jpg,Einzel,"IT: Einzelbett  
ES: Cama 80  
DE/FR/SE/PL/BE: 135 x 200 cm",Singolo,0.0,30.026346051760882,25.736868044366478,1800.0,0.4224952161312103,0.5762704014778137,0.48754480481147766,0.0,0.3277772068977356
it/bf/7a/it_10377070.jpg,Manuela,"1.  
2.  
3.  
4.  
5.  

1.  
2.  
3.  
4.  
5.",Manuela,0.0,0.0,0.0,1000.0,0.5214829444885254,0.6447915434837341,0.5766186118125916,0.0,0.32307496666908264
it/83/58/it_10417003.jpg,"PUZZLE
500 TEILE
GOTT","PUZZLE
500
TEILE
0
D1&S
CEO","PUZZLE
500 PEZZI
DIOS",20.556680845025987,71.1159938985517,69.33586725697694,125.0,0.8675326108932495,0.8912606239318848,0.8792365789413452,0.6691919191919192,0.5943922400474548
it/d0/a5/it_10392328.jpg,"In wenigen Schritten montiert
1
2
3
4
5",In wenigen Schritten montiert,"Montata in pochi passaggi
1
2
3
4
5",28.650479686019022,85.40006952644293,76.3049536345974,55.55555555555556,0.9217108488082886,0.7614755630493164,0.8339661955833435,0.46691176470588236,0.7902531623840332
it/ed/c8/it_10373632.jpg,"SPIELZEUG 3 IN 1
Wippe
Rutsche
Korbschuss","GIOCATTOLO 3IN 1  
Schaukel  
Rutsche  
Korb","GIOCATTolo 3 IN 1
Dondolo
Scivolo
Canestro",8.170609724417774,35.58507614646811,30.369445985255876,71.42857142857143,0.811018705368042,0.8115399479866028,0.811279296875,0.14492753623188406,0.522913932800293
it/a3/6a/it_10373914.jpg,"FREITAG
MORGEN
11:56
A.M.
JUNI
2022
7 Zoll","204mm  
156mm  
FREITAG  
7Zoll  
MORGEN  
88,2mm  
11:56  
VORMITTAGS  
10.  
JUNI  
2022  
TROCOTN","VENERDÌ
MATTINA
11:56
A.M.
GIUGNO
2022
7 Pollici",13.674406678232565,50.06976250567102,48.20405835739831,80.0,0.717488706111908,0.7655318975448608,0.7407321333885193,0.43764705882352933,0.5424427390098572
it/93/39/it_10409006.jpg,"Sohn
Sohn
Mutter",Aadre,"Figlio
Figlio
Madre",0.0,3.278688524590164,2.7322404371584703,100.0,0.672929048538208,0.6254751682281494,0.6483349204063416,0.0,0.379202276468277
it/47/89/it_10406943.jpg,"Ristretto
10
INTENSITÄT","10  
Ristretto  
INTENSITÄT  
ESPRESSO  
ITALIEN  
Ristretto  
-10x-  
ESSO  
Y  
ESSO  
PRESSO  
HERGESTELLT MIT  
Ye  
KAPSELKOMPATIBEL  
YEs  
NESPRESSO  
RESSO","Ristretto
10
INTENSITÀ",2.5197593442434796,38.71695333909794,35.090868796083825,566.6666666666667,0.680320680141449,0.8330092430114746,0.7489621043205261,0.33333333333333337,0.5124860405921936
it/ed/e6/it_10373599.jpg,"STABILO
Cajal
M 0.5 12","eSTABItOCarbOthcllo  
1400/642","STABILO
Cajal
M 0.5 12",0.0,22.207432732328904,16.655574549246676,100.0,0.6704379320144653,0.7203493714332581,0.6944980621337891,0.0,0.5088201761245728
it/00/77/it_10365222.jpg,"PUMA
ITALIEN","uwnd
ITALIEN","PUMA
ITALIA",49.99999999999999,50.89706589706589,44.42279942279942,50.0,0.8375600576400757,0.8496134281158447,0.8435437083244324,0.25,0.7293341159820557
it/09/4b/it_10360039.jpg,"Holz
Marmor
Keramik
Gras","Marmor  
Aus Holz  
Keramik  
Gras","Di legno
Marmo
Ceramico
Erba",25.40663740773074,69.82728766033546,68.20150408721256,50.0,0.9004449844360352,0.9200478792190552,0.9101409316062927,0.7698170731707317,0.8984439969062805
it/91/d3/it_10372068.jpg,9 Zoll,"9 Zoll  
X  
AWESAFE",9 pollici,31.947155212313625,63.76840278306412,68.69543913682588,100.0,0.7208042740821838,0.8661463260650635,0.7868197560310364,0.8522727272727273,0.7537716031074524
it/6f/bb/it_10375731.jpg,"28W
2800LM
3K/4K/6K
IP56 Wasserdicht
30000H
CRI 85","2,5 cm  
30 cm  
28 W  
2800 LM  
3K/4K/6K  
IP56 wasserdicht  
Radarsensor Dämmerungssensor  
30000 H  
CRI85","28W
2800LM
3K/4K/6K
IP56 Impermeabile
30000H
CRI 85",29.15369229944521,72.04061643098002,58.094841945562315,108.33333333333333,0.7917364835739136,0.8866293430328369,0.836500346660614,0.3345959595959596,0.8146395087242126
it/33/42/it_10378881.jpg,"Spray
Fluss","Spritzen  
Fluss","Spruzzare
Flusso",49.99999999999999,37.67055016881209,34.58836549968496,50.0,0.8593594431877136,0.892186164855957,0.8754651546478271,0.25,0.7642519474029541
it/9a/b6/it_10388908.jpg,"Schnellladung
3.0h
12V Eingang
USB C
4.0h
5V Eingang
iOS","Schnellladung  
3,0h  
12V Eingang  
USBC  
4,0h  
5V Eingang  
iOS","Ricarica Rapida
3.0h
12V Ingresso
USB C
4.0h
5V Ingresso
iOS",20.90067144241745,83.95110577284707,74.89695414965873,20.0,0.9727221727371216,0.9727221727371216,0.9727221727371216,0.5681818181818182,0.9233742356300354
it/fb/65/it_10405319.jpg,"Bronzi

€20",Bronzi,"Bronzi

€20",13.533528323661276,55.77101053281037,55.74024404064826,50.0,0.8344891667366028,0.7336219549179077,0.7808114290237427,0.2631578947368421,0.9301077723503113
it/a1/81/it_10429688.jpg,"DESINFIZIERT
UV-C
DESINFIZIERT","UV-C
Sicura
Schutz","SANIFICATA
UV-C
SANITIZED",39.76353643835252,8.089485428483593,10.341896134905939,100.0,0.7734994888305664,0.5941580533981323,0.6720702052116394,0.16666666666666666,0.4929085373878479
it/b6/01/it_10418706.jpg,KUNSTSTOFF,"1  
cm  
PLASTICA  
cm 10  
pubblinania",PLASTICA,0.0,3.8923031899326888,3.336259877085163,600.0,0.609544038772583,0.6390570402145386,0.6239517331123352,0.0,0.3207741677761078
it/50/6f/it_10385745.jpg,"Malerei
Rost
Holz
Metall","Pittura  
Ruggine  
Legno  
Metallo","Pittura
Ruggine
Legno
Metallo",0.0,24.130293118701278,18.097719839025956,100.0,0.6770739555358887,0.7189404964447021,0.6973794102668762,0.0,0.6481303572654724
it/77/f9/it_10404800.jpg,Perfekt!,"MLPIA
trodat
Continua'Cosi!
SUPER
BLOROT
Perfetto!",Perfetto!,4.196114906296549,20.244743151695822,19.28886249247185,600.0,0.6323641538619995,0.8268566727638245,0.7166489362716675,0.19230769230769235,0.4202398955821991
it/8a/b7/it_10419746.jpg,"EINSTELLBARE FEUERSTELLUNG
Hoch
Mittel
Niedrig
Stroboskop
SOS","REGELBAR  
SCHARFSTELLUNG  
Hoch  
Mittel  
Niedrig  
Stroboskop  
SOS","REGOLABILE MESSA A FUOCO
Alto
Medio
Basso
Strobo
Sos",61.47881529512643,73.95693424165412,72.73667585484577,28.57142857142857,0.9274744391441345,0.9136340618133545,0.9205021858215332,0.7114285714285714,0.7946324944496155
it/14/35/it_10360243.jpg,"Oberschenkel
Knöchel
Gesäß
Bauch
Schultern
Arme","Waden
Gesäß
Knöchel
Bauchmuskeln
Schultern
Arme","Cosce
Caviglie
Glutei
Abs
Spalle
Braccia",19.304869754804482,53.994828579231644,51.32945476775706,50.0,0.8788886070251465,0.8894776105880737,0.8841513991355896,0.5260416666666666,0.8647989630699158
it/62/8a/it_10413719.jpg,"Fabio
Giorgia
Paolo","C
Fabio
R","Fabio
Giorgia
Paolo",27.516060407455225,18.497360808180943,18.375916556868795,100.0,0.7058300971984863,0.6619828939437866,0.6832036972045898,0.16666666666666666,0.7119022607803345
it/94/3a/it_10384213.jpg,"KAFFEE
CORSINI
1950","CAFFE  
CORSINI  
1950","CAFFÈ
CORSINI
1950",55.03212081491043,75.54424986713582,71.25060977298776,33.33333333333333,0.9273513555526733,0.9273513555526733,0.9273513555526733,0.625,0.9073724150657654
it/50/d8/it_10385899.jpg,"Anmossi
TY-E14-LB

E

12
kWh/1000h","ENERGIE
Anmossi
TY-E14-LB
A
B
D
E
E
F
G
2019/2015
12
kWh/1000h","Anmossi
TY-E14-LB

E

12
kWh/1000h",38.817246541254406,73.69348876100948,69.58069334027103,111.11111111111111,0.7818450927734375,0.9044665694236755,0.8386974930763245,0.7689655172413793,0.8077213168144226
it/f9/fa/it_10505837.jpg,"GaG
MILANO
ITALIEN","MILANO
ITALIEN
60
15
30","GaG
MILANO
ITALY",21.3643503198117,74.09106075061322,68.43254104760034,133.33333333333331,0.8301756381988525,0.862362265586853,0.8459629416465759,0.5859375,0.6989284753799438
it/54/5d/it_10368472.jpg,"2600W
Bügeleisen","beper  
beper  
2600W  
beper  
2600W  
SUPER POWER  
Bügeleisen","2600W
Ferro da stiro",6.567274736060395,52.90299401719775,47.542207976000036,300.0,0.6682162284851074,0.8672560453414917,0.7548356056213379,0.3846153846153847,0.5700708031654358
it/80/92/it_10424312.jpg,"Spray
Fluss","Spritzen
Fluss","Spruzzare
Flusso",49.99999999999999,37.67055016881209,34.58836549968496,50.0,0.8593594431877136,0.892186164855957,0.8754651546478271,0.25,0.7642519474029541
it/86/bb/it_10395352.jpg,"KAFFEE
CORSINI
1950","CAFFE
CORSINI
I 9 5 O","CAFFÈ
CORSINI
1950",8.116697886877475,50.201719267097346,41.42889410053552,166.66666666666669,0.8042902946472168,0.8595713376998901,0.8310124278068542,0.15151515151515152,0.6526801586151123
it/05/14/it_10377266.jpg,"FREITAG
MORGEN
11:56
A.M.
JUNI
2022
10,
7 Zoll","204mm  
156mm  
FREITAG  
7 Zoll  
MORGEN  
88,2mm  
11:56  
VORMITTAGS  
10,  
JUNI  
2022  
TROCOTN","VENEDRÌ
MATTINA
11:56
A.M.
GIUGNO
2022
10,
7 Pollici",10.886972213737396,47.09726952113435,48.790326263395926,63.63636363636363,0.7374659776687622,0.7715997099876404,0.7541468739509583,0.7371794871794872,0.5662705302238464
it/64/3d/it_10409850.jpg,"Tochter
Sohn
Mutter",adre,"Figlia
Figlio
Madre",0.0,3.4722222222222223,2.7777777777777772,100.0,0.6142034530639648,0.6235038042068481,0.6188187003135681,0.0,0.2592335045337677
it/d7/8e/it_10395143.jpg,"Spray
Fluss","Spritzen  
Fluss","Spruzzare
Flusso",49.99999999999999,37.67055016881209,34.58836549968496,50.0,0.8593594431877136,0.892186164855957,0.8754651546478271,0.25,0.7642519474029541
