img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET
zh/b4/9c/zh_10844713.jpg,"68%
2%
30%","68%
Arena de tofu para gatos
Ingredientes naturales
Descarga rápida que disuelve el inodoro

Proporción dorada
Mezcla fuerza potente

2%
Factor desodorante azul
Eliminación eficaz de olores Respiración libre

30%
Bentonita
Fuerte aglomeración Excelente absorción de agua
","68%
2%
30%
",2.5984987978515033,4.813243803942975,13.824569360685668,566.6666666666667,0.5248661041259766,0.7258910536766052,0.6092239022254944,0.598404255319149,0.3143553137779236
zh/64/2f/zh_10856253.jpg,"30%
10%
60%","30%
Arena para gatos hinchada
10%
Factor desodorante STA
60%
Arena para gatos de tofu","30%
10%
60%",6.074588070876682,14.510339675372066,26.4326676956394,200.0,0.6103814244270325,0.7691798210144043,0.6806411743164062,0.78125,0.3480510413646698
zh/83/35/zh_10026324.jpg,SAER,"SA'ER
沙珥运动户外专卖店",SAER,0.0,26.737967914438503,21.3903743315508,1000.0,0.6055458188056946,0.7442768812179565,0.6677821278572083,0.0,0.5301398038864136
zh/2e/1b/zh_10823159.jpg,SAGE,"SAGE 臻赛湖
本店|专|用|著|精|必|究",SAGE,2.627961710408444,41.73854372443727,50.04658758465915,1700.0,0.5531484484672546,0.7743873596191406,0.6453326940536499,0.4166666666666667,0.4223032593727112
zh/f8/4d/zh_10938626.jpg,"GF-30
CE
UL
CQC","欣心散热风扇
https://shop145005617.taobao.com","GF-30
CE
UL
CQC",0.0,0.9689922480620154,0.7267441860465117,300.0,0.5402529239654541,0.5925824046134949,0.5652090311050415,0.0,0.3452404737472534
zh/7a/a7/zh_10903819.jpg,Jiyixi,"吉宜宜喜
JIYIXI

吉宜宜喜
JIYIXI","吉宜喜
JIYIXI",15.97357760615681,1.893939393939394,1.6233766233766236,900.0,0.6074289083480835,0.6426253318786621,0.624531626701355,0.3846153846153847,0.4165779650211334
zh/3e/52/zh_10917185.jpg,Jiyixi,"吉宜喜
JIYIXI

吉宜喜
JI YI XI","吉宜喜

Jiyixi",8.116697886877475,1.984126984126984,1.7006802721088434,900.0,0.617306113243103,0.6759176254272461,0.6452836394309998,0.33333333333333337,0.4341915249824524
zh/b0/a5/zh_10854844.jpg,"Boznoi
❤️
FELIZ
LINDO","Boznoi
柏之芸车品","Boznoi
❤️
HAPPY
CUTE",11.15650800742149,23.707710206637245,21.256944726113154,125.0,0.7133471369743347,0.6498900651931763,0.6801416873931885,0.13157894736842105,0.35520505905151367
zh/e5/32/zh_10768610.jpg,"Ideal
L8
L9
L9
L7
L7","工马冬恒
Ideal
L8
Ideal Ideal
L8 L8
L9
Mejora de lujo mejora el grado
L9 L9
L7 L7
Adecuado para el logotipo Ideal del coche, múltiples opciones disponibles","理想
L8
L9
L9
L7
L7",10.128952330932195,32.26042456556038,38.53453723062004,416.6666666666667,0.6938661336898804,0.8261321187019348,0.7542443871498108,0.677710843373494,0.5031940937042236
zh/ab/01/zh_10900083.jpg,"GOLDYIP
USB
MP3","GOLDYIP
0:0:0:0
GOLDYIP
//USB/MP3
USB Cinta magnética leer","GOLDYIP
USB
MP3",4.456882760699063,34.3388616371356,31.880693382651444,400.0,0.7071691751480103,0.8314106464385986,0.7642735838890076,0.28571428571428575,0.5764879584312439
