img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET,cluster
en/16/4c/en_10071777.jpg,"EURO
00:00
MO DI MI DO
LICHT
MODUS
STARTEN
RESET","EURO  
MO DI MI DO FR","EURO
00:00
MO TU WE TH
LIGHT
MODE
START
RESET",27.585129929794583,22.77567257060144,28.6451629726595,54.54545454545454,0.8316607475280762,0.7341817617416382,0.7798870801925659,0.5041666666666667,0.4736106991767883,0
en/6e/2e/en_10346058.jpg,"Leicht
Weich
Waschbar
Ergonomie
Rutschfest
Kein Geräusch","Leichtgewichtig  
Weich  
Waschbar  
Ergonomisch  
Rutschfest  
Kein Geräusch","Lightweight
Soft
Washable
Ergonomics
Anti-Slip
No Noise",30.73940764756321,83.56480876302199,77.94526547549448,28.57142857142857,0.9167923927307128,0.9395068883895874,0.9280107021331788,0.6914285714285714,0.9005096554756165,0
en/bb/e3/en_10585305.jpg,"FINON
MOTO 5G
g 53J
53Y","FINON  
MOTO 5G  
g 53J  
53Y","FINON
MOTO 5G
g 53J
53Y",100.00000000000004,100.0,100.0,0.0,1.0000464916229248,1.0000464916229248,1.0000464916229248,0.9976851851851852,0.9861775040626526,0
en/50/37/en_10505647.jpg,"XTU
4K30
01:39:53","01:39:53  
4K30  ","XTU
4K30
01:39:53",42.88819424803536,57.59404009062252,52.14272979040383,40.0,0.9006839394569397,0.8616318702697754,0.8807252049446106,0.3448275862068965,0.9148873686790466,0
en/cc/5c/en_10554456.jpg,"JM4000Xi
3500 Startwatt
3200 Betriebswatt","3500 Startwatt  
3200 Betriebswatt  
INVERTER-GENERATOR  
JM4000Xi","JM4000Xi
3500 Starting Watts
3200 Running Watts",36.55552228545123,83.76039504993321,83.9175345636315,40.0,0.7633239030838013,0.8902856111526489,0.8219307661056519,0.9490196078431372,0.8458834290504456,0
en/68/e0/en_10453976.jpg,"DREI SCHLÜSSEL
USB-C1
USB-C2",DREISCHLÜSSEL,"THREEKEY
USB-C1
USB-C2",0.0,51.92745829522439,44.5092499673352,100.0,0.835724413394928,0.7238505482673645,0.7757749557495117,0.0,0.434823602437973,0
en/6b/72/en_10510295.jpg,"GOBI
CCOUL-MA10
BL-5237-1","ORICO  
CCV4-MRG  
DC 5V 2A MAX  
BL6217##","GOBI
CCOUL-MA10
BL-5237-1",3.747776736677921,14.519468255121312,10.889601191340985,220.00000000000003,0.7396159172058105,0.7652261853218079,0.7522031664848328,0.0,0.6617905497550964,0
en/e9/c2/en_10556972.jpg,"TALENANA
BLEIB BEGEISTERT
SUCHEN SIE MEHR","BLEIB HYDRIERT  
SUCHEN SIE WISSEN","TALENANA
STAY HYPED
SEEK MORE",19.3576934939088,41.05612013239342,39.86749281349093,50.0,0.8588975667953491,0.8634761571884155,0.8611807823181152,0.4331450094161957,0.6463176012039185,0
en/bc/50/en_10184307.jpg,"microSD
Adapter
ARCANITE
64GB","MicroSD  
Adapter  
ARCANITE  
ARCANITE  
A1 V30  
MicroSDXC  
64GB  ","microSD
Adapter
ARCANITE
64GB",22.08959113415788,71.87635601997181,65.03436638168368,100.0,0.8266358375549316,0.9166228771209716,0.8693068027496338,0.7173295454545454,0.8930378556251526,0
en/92/21/en_10514879.jpg,"BRIO
WELT
Aufsteigende Gleise
33323
3 +",Aufsteigende Schienen,"BRIO
WORLD
Ascending Tracks
33323
3 +",4.104249931194939,35.45305505211204,28.776122466679222,85.71428571428571,0.8355257511138916,0.6838111877441406,0.7520937323570251,0.0769230769230769,0.5283803343772888,0
en/98/e2/en_10595657.jpg,"TIMEX
WR 30M
WATERBURY-KOLLEKTION
EDELSTAHL-RÜCKSEITE","WASSERDICHT 50 M  
UHRMACHER-ERBE  
WATERBURY KOLLEKTION","TIMEX
WR 30M
WATERBURY COLLECTION
STAINLESS STEEL BACK",6.413885305524152,37.35147532785377,28.01360649589033,120.0,0.8177287578582764,0.8072670102119446,0.8124642372131348,0.0,0.6008796095848083,0
en/47/02/en_10406765.jpg,"AUTOMATISCHES ARBEITEN
Solarladung tagsüber
Licht in der Nacht","AUTO ARBEITEN  
Tagsüber solar aufladen  
Licht geht nachts an","AUTO WORKING
Solar charge at daytime
Light on at night",6.27465531099474,37.75578684507371,31.38525608066578,87.5,0.8197540044784546,0.8017286062240601,0.8106411099433899,0.2469135802469136,0.6548023223876953,0
en/fb/97/en_10327639.jpg,"Leicht
Super weich
Waschbar
Ergonomisch
Rutschfest
Leise","Leichtgewichtig  
Super Weich  
Waschbar  
Ergonomisch  
Rutschfest  
Leise","Lightweight
Super Soft
Washable
Ergonomic
Non-Slip
Quiet",80.91067115702207,84.24120179416136,78.42316366686408,14.285714285714285,0.907195806503296,0.9379676580429076,0.9223251342773438,0.8551587301587302,0.852533757686615,0
en/b8/53/en_10570762.jpg,"RANGS
Balance
Hüpfen
LAVENDEL
RANGS","RANGS  
Balance Hopping  
LAVENDEL  
RANGS JAPAN","RANGS
Balance
Hopping
LAVENDER
RANGS",22.957488466614336,71.313669333607,69.05423662684954,40.0,0.8674272298812866,0.862666130065918,0.865040123462677,0.7352941176470589,0.6104270815849304,0
en/25/32/en_10101166.jpg,"ALUSSO
CRI 80+

Andere
CRI 75-","ALUSSO  
CRI 80+  

Andere  
CRI 75+  ","ALUSSO
CRI 80+

Others
CRI 75-",68.037493331712,95.31916500738012,93.1411594698208,12.5,0.9661165475845336,0.9661165475845336,0.9661165475845336,0.8300000000000002,0.948876678943634,0
