img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET,cluster
en/30/8d/en_10734838.jpg,"24.6""
12.5""
35""
25.5""
3.74""
41.3""
25.4""
23.0""
最大
330
磅","最大承重 330 磅  
加宽圆滑扶手  
41.3""  
23.0""  
25.4""  
16.7""  
35.0""  
24.6""  ","24.6""
12.5""
35""
25.5""
3.74""
41.3""
25.4""
23.0""
MAX
330
LBS",14.476355589511376,39.95112492914535,43.18815058571535,116.66666666666669,0.7787241339683533,0.8428665399551392,0.8095267415046692,0.3746311475409837,0.7331371903419495,2
en/79/01/en_10523505.jpg,"CASSETIFY
编号：0907501072
做你自己
# 395
230 V~ 50 Hz 16 W
版权所有。","- CASETiFY  
- 让你做自己  
- 所有权利均保留。","CASSETIFY
NR. 0907501072
LE YOU DO YOU
# 395
230 V~ 50 Hz 16 W
All Rights Reserved.",5.404805176572794,9.539529775746187,7.154647331809641,80.95238095238095,0.7195638418197632,0.6471217274665833,0.6814228296279907,0.2120141342756183,0.509483814239502,2
en/a8/68/en_10454606.jpg,"x 14
x 6
x 2
x 8
x 1
x 2
x 2
x 1
x 1
x 1
x 1
x 1
x 1
x 1","×14  
×8  
×2  
×6  
×1  
×2  
×8  
×2  
×1  
×2  
×2  
×1  
×1  
×1  
×1  
×1  
×1  
×1  
×1  
×1  
×1  
×1  
×1","x 14
x 6
x 2
x 8
x 1
x 2
x 2
x 1
x 1
x 1
x 1
x 1
x 1
x 1",0.0,8.196156512748448,6.147117384561336,100.0,0.7322403788566589,0.7469426393508911,0.7395185232162476,0.3377265238879737,0.6693159937858582,2
en/16/79/en_10204718.jpg,"LED
12/24V LED/PL 112-SP
欧司朗
LEDriving
CUBE PX4500 SPOT
4500
M
5年
保修","LED驾驶灯  
CUBE PX4500 聚光灯  
4500流明  
5年保修  
适用范围：卡车、SUV、挖掘机、农业设备  
www.osram.com","LED
12/24V LED/PL 112-SP
OSRAM
LEDriving
CUBE PX4500 SPOT
4500
M
5 YEAR
WARRANTY",7.545827734685473,22.203329696998868,20.035219426053555,121.73913043478262,0.5554882287979126,0.6973572969436646,0.6183903217315674,0.353745751510574,0.6141043901443481,2
en/e0/ec/en_10298908.jpg,"多功能用途
汽车换挡杆
摩托车
汽车中控台
汽车升降按钮","多功能用途  
汽车换挡杆  
摩托车  
汽车中控台  
车窗升降按钮  ","MULTIFUNCTIONAL USES
Car Gear Shifter
Motorcycle
Car center console
Car lifter button",84.8969946556677,79.86992761878345,79.27744571408759,8.333333333333332,0.9701375961303712,0.9858407974243164,0.9779261946678162,0.7155612244897959,0.9225447177886964,2
en/fe/d2/en_10436719.jpg,"6""
7.87""
外部装饰材料
LiteHide™ 皮革
外部主体材料
LiteHide™ 皮革","外部装饰材料：LiteHide™ 皮革  
外部主体材料：LiteHide™ 皮革  ","6""
7.87""
Exterior Trim Material
LiteHide™ Leather
Exterior Body Material
LiteHide™ Leather",67.47799968334306,70.18973597388865,55.72532448311664,10.0,0.9037905335426332,0.8173929452896118,0.8584232926368713,0.5868421052631578,0.8180872797966003,2
en/70/b5/en_10541646.jpg,"戴尔
科技
120Hz
微软办公
15.6 FHD
英特尔
核心
i3","戴尔科技  
120赫兹  
15.6全高清  
微软Office  
英特尔酷睿i3  ","DELL
Technologies
120Hz
Microsoft Office
15.6 FHD
intel
CORE
i3",20.313747122261766,30.96730569149867,23.225479268624007,64.70588235294117,0.7699005603790283,0.819364070892334,0.7938625812530518,0.2941176470588235,0.8305723667144775,2
en/20/60/en_10427076.jpg,"星座
白羊座 21/3-19/4
金牛座 20/4-20/5
双子座 21/5-20/6
巨蟹座 21/6-22/7
狮子座 23/7-22/8
处女座 23/8-22/9
天秤座 23/9-22/10
天蝎座 23/10-21/11
射手座 22/11-21/12
摩羯座 22/12-19/1
水瓶座 20/1-18/2
双鱼座 19/2-20/3","星座  
白羊座  21/3-19/4  
金牛座  20/4-20/5  
双子座  21/5-20/6  
巨蟹座  21/6-22/7  
狮子座  23/7-22/8  
处女座  23/8-22/9  
天秤座  23/9-22/10  
天蝎座  23/10-21/11  
射手座  22/11-21/12  
摩羯座  22/12-19/1  
水瓶座  20/1-18/2  
双鱼座  19/2-20/3  ","CONSTELLATION
Aries 21/3-19/4
Taurus 20/4-20/5
Gemini 21/5-20/6
Cancer 21/6-22/7
Leo 23/7-22/8
Virgo 23/8-22/9
Libra 23/9-22/10
Scorpio 23/10-21/11
Sagittarius 22/11-21/12
Capricorn 22/12-19/1
Aquarius 20/1-18/2
Pisces 19/2-20/3",100.00000000000004,100.0,100.0,0.0,0.999992847442627,0.999992847442627,0.999992847442627,0.9556904324701092,0.9695329666137696,2
en/57/07/en_10729452.jpg,"抓挠柱
有趣的天窗
攀爬平台
加固底座
额外的横档进一步增强稳定性","抓挠柱  
有趣的天窗  
攀爬平台  
加固底座  
额外的横木进一步增强稳定性  ","SCRATCHING POST
FUN SKYLIGHT
CLIMBING PLATFORM
REINFORCED BASE
Extra battens further enhance stability",90.61874434879648,86.31885674989124,84.11414256241842,3.4482758620689653,0.9783378839492798,0.9783378839492798,0.9783378839492798,0.8833333333333334,0.8642184138298035,2
en/8b/c6/en_10280961.jpg,"一个很棒的礼物主意！
好姐妹派对
情人节礼物
超人的妈妈
生日礼物","一个很棒的礼物创意！  
好姐妹派对  
情人节礼物  
超人妈妈  
生日礼物  ","A great gift idea!
Good Sisters Party
Valentine's Day Gifts
Superman's Mum
Birthday Gifts",81.07694876693635,73.1851733995509,65.51591021687378,7.142857142857142,0.9433577060699464,0.934435248374939,0.9388752579689026,0.7908921771487194,0.9264312386512756,2
en/7e/da/en_10301599.jpg,"读取速度高达 90 MB/s
写入速度高达 45MB/s
KOTION PRO
micro U1 A1 64 GB","读取速度高达90 MB/s  
写入速度高达45 MB/s","Read Speeds up to 90 MB/s
Write Speeds up to 45MB/s
KOTION PRO
micro U1 A1 64 GB",60.70177192305966,54.90980295312471,42.40188584721072,34.61538461538461,0.9490453004837036,0.8646256327629089,0.9048708081245422,0.3810829817158931,0.8038939833641052,2
