img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET
zh/b4/9c/zh_10844713.jpg,"68%
2%
30%","• ——

68%
رمل قطط التوفو
مواد طبيعية
سرعة الانحلال

2%
جزيئات إزالة الروائح الزرقاء
إزالة رائحة فعالة التنفس الحر

30%
التربة الممتلئة
قوة تكتل جيدة امتصاص ممتاز

نسبة ذهبية مختلطة
مزيج قوي","68%
2%
30%
",3.551851328486764,6.879509927742658,15.83414769724209,500.0,0.5331050157546997,0.737918496131897,0.6190099120140076,0.6250000000000001,0.3177372217178345
zh/64/2f/zh_10856253.jpg,"30%
10%
60%","الرمل الممتد للقطط
30%
60% الرمل الصويا للقطط
10%
عوامل إزالة الروائح STA","30%
10%
60%",12.874330508144842,22.075840228578024,35.27738584326051,183.33333333333331,0.5751575231552124,0.773851215839386,0.6598716974258423,0.6091269841269841,0.34549060463905334
zh/83/35/zh_10026324.jpg,SAER,"ساير
سار الرياضة في الهواء الطلق متجر متخصص",SAER,0.0,0.0,0.0,800.0,0.613564133644104,0.6958721876144409,0.6521313190460205,0.0,0.32925230264663696
zh/2e/1b/zh_10823159.jpg,ساج,SAGE ساج,SAGE,49.99999999999999,70.23643949930458,74.22630560928432,100.0,0.8201664686203003,0.8809807300567627,0.8494865894317627,0.45454545454545453,0.8473712801933289
zh/f8/4d/zh_10938626.jpg,"GF-30
CE
UL
CQC","القلب المروحة التبريد
https://shop145008617.taobao.com","GF-30
CE
UL
CQC",0.0,0.8417508417508417,0.6313131313131313,225.0,0.5566408634185791,0.593342661857605,0.574406087398529,0.0,0.3214057981967926
zh/7a/a7/zh_10903819.jpg,جي يي شي,"جيا يي شي
JIYIXI
جيا يي شي
JIYIXI","吉宜喜
JIYIXI",11.044795567078939,25.999201299447883,30.45591501453441,200.0,0.6961191892623901,0.8019658327102661,0.745303213596344,0.5357142857142858,0.5202087759971619
zh/3e/52/zh_10917185.jpg,جي يي شي,"جِي يِ سِ  
جِي يِ سِ","吉宜喜

Jiyixi",0.0,16.024924555717,12.01869341678775,200.0,0.6744698286056519,0.691530704498291,0.6828937530517578,0.0,0.4728533923625946
zh/b0/a5/zh_10854844.jpg,"بوزنوي
❤️
سعيد
لطيف","بوزنوی
السيارات المركونة بها
سعيدة
جميلة","Boznoi
❤️
HAPPY
CUTE",8.116697886877475,25.03245547404252,18.774341605531887,150.0,0.6792623996734619,0.7609606981277466,0.7177943587303162,0.11904761904761905,0.4966478645801544
zh/e5/32/zh_10768610.jpg,"مثالي
L8
L9
L9
L7
L7","الحصان الأسود الدائم
مثالي مثالي مثالي
L8 L8 L8
L9 L9 L9
L7 L7
ترقية فاخرة رفع مستوى
مناسب لشعار سيارة مثالية متعدد الخيارات","理想
L8
L9
L9
L7
L7",30.950920105373314,40.20059146483138,46.12810476039868,300.0,0.7054184079170227,0.846411406993866,0.7695099115371704,0.8195066557314997,0.4937501847743988
zh/ab/01/zh_10900083.jpg,"جولد ييب
يو إس بي
إم بي 3","جولديب
USB/MP3
USB القراءة والنسخ","GOLDYIP
USB
MP3",5.522397783539471,17.4834999086857,13.112624931514278,100.0,0.6689092516899109,0.6776765584945679,0.6732643842697144,0.0625,0.4244038164615631
zh/26/42/zh_10932763.jpg,"حوض غسيل
مرآة
مزهرية",تشانغتشو رويشن مواد البناء الإنتاج والمبيعات,"洗手台
镜子
花瓶",0.0,7.047724152629317,5.285793114471987,150.0,0.6738357543945312,0.6772215366363525,0.6755244135856628,0.0,0.40275952219963074
zh/6c/99/zh_10915284.jpg,"فولاذ ماتي
2.5
2.6
2.6
39
بار","الحديد الجنرال
39 2.5
35 2.6
2.5 39
2.6 35 Bar
STEELMATE","钢铁伙伴
2.5
2.6
2.6
39
Bar",27.854685173648893,26.15418889262561,25.892893620119473,128.57142857142858,0.7544195652008057,0.7927051782608032,0.7730886340141296,0.6510948905109489,0.5442190766334534
zh/ff/92/zh_10796525.jpg,-20 درجة مئوية,"الشراء يمنح
مطرقة الأمان + حزام ثابت
-20 درجة مئوية",-20°C,23.462350320528007,61.104777628247064,63.996537968014465,233.33333333333334,0.6907762885093689,0.9004152417182922,0.7817858457565308,0.8444148936170214,0.5544369220733643
zh/6f/a7/zh_10007404.jpg,"نايجاتو
TUEFHAY
GKSD
GKSD","نائجاتو
NAIJIATU
TUEFHAY
GKSDA
GKSDA
إضافة القطن
زيادة السماكة","奈加图
TUEFHAY
GKSD
GKSD",4.767707020457095,47.10490269021328,37.83998563473372,200.0,0.7082744836807251,0.8115615248680115,0.7564083337783813,0.11111111111111112,0.5686434507369995
zh/69/47/zh_10821743.jpg,"08
06
10
1971
11
07
04","04
07
11
1971
10
06
08
مجموعة وسادة الهواء","08
06
10
1971
11
07
04",6.8253021567726675,31.737089075856446,35.591432585968555,128.57142857142858,0.7502001523971558,0.8427863121032715,0.7938026189804077,0.4794520547945205,0.8030414581298828
zh/5f/c2/zh_10021542.jpg,WAMAI,"WAMAI
FEDO البرازيل
رقم 73843W

عادةً ما أكون في السباقات الصباحية. في صباح يوم السباق ، كان لدي حصان يُدعى Medical Convention بسعر 22 إلى 1. سببي الرئيسي هو أن هذا الحصان مملوك من قبل المدربين الذين كانوا يمتلكونه بالفعل مع الأحصنة المطلقة ، لذا لم يكن هناك حاجة للحصول على أي تحسينات إضافية. كانت هذه هي الطريقة التي يمكن أن يفوز بها.
بينما كنت أنتظر السباق التالي ، وضعت 540 دولارًا على Medical Convention للفوز. ثم بدأ السباق الذي كان يليه ، وتحولت الأمور بطريقة جعلته يفوز. وهكذا فزنا بـ Medical Convention. كنا نشارك في شيء مشترك ، والذي تم تفسيره كما يلي:
- مرحباً يا 10 ، بالتأكيد
- أوه ، 10 بالتأكيد
- ليس لديك أي سؤال. بالتأكيد! 10. يحدث ذلك دائمًا!
ستيف لارسن",WAMAI,0.2590221619310866,2.7092253899920404,2.841146135665336,12300.0,0.45724567770957947,0.7579153776168823,0.5703828930854797,0.034013605442176874,0.3535836338996887
zh/a1/e6/zh_10032353.jpg,"```250
X```","الحذاء
٢٥٠","250
X",30.326532985631665,0.0,0.0,100.0,0.6253318786621094,0.6446868777275085,0.6348618865013123,0.17241379310344826,0.39846542477607727
zh/94/a0/zh_10011311.jpg,"ديزني
STRCR
DSGL
RYD
ES
984
L
84","ديزني
ستركر
جي دي إس جي ل
إي سي إي إل
ري يو دي
ستركر ٨٤
ستركر ٩٨٤
ستركر ٨٤
ستركر ٩٨٤
ستركر ٨٤
ستركر ٩٨٤","迪士尼
STRCR
DSGL
RYD
ES
984
L
84",1.9011755113058346,7.308198893217681,6.5587354694011255,312.5,0.624914824962616,0.7201045751571655,0.6691413521766663,0.15306122448979592,0.3907415270805359
zh/f8/aa/zh_10793136.jpg,"18.9لتر
12لتر
4.5لتر","يتوافق مع معظم أوعية المياه في السوق للاستخدام
18.9L 12L 4.5L","18.9L
12L
4.5L",13.973536728747975,16.711241384576102,12.533431038432074,366.66666666666663,0.6970138549804688,0.8079731464385986,0.7484030723571777,0.6226379440665154,0.5707517266273499
zh/49/12/zh_10909599.jpg,جي يي شي,"جيا يي شي
JIYIXI
جيا يي شي
JIYIXI","吉宜喜
JIYIXI",11.044795567078939,25.999201299447883,30.45591501453441,200.0,0.6961191892623901,0.8019658327102661,0.745303213596344,0.5357142857142858,0.520314633846283
zh/f2/2f/zh_10911729.jpg,"F9
OdB
TLOS
AF
ATW S5200K
00:00:00","F9
0dB

TLOS
AF
ATW S5200K

00:00:00

العلوم الصحية","F9
OdB
TLOS
AF
ATW S5200K
00:00:00",52.055103630534376,82.24313632687972,79.669214365994,33.33333333333333,0.8962665796279907,0.9310632944107056,0.9133336544036865,0.868991969315594,0.6972774267196655
zh/9f/91/zh_10763501.jpg,"مازدا
AWD 2.5
AWD 20
AWD
AWD","AWD
AWD 2.5
AWD 2.0
AWD
AWD
مازدا سعة المحرك رباعية الدفع ملصق معدني للجسم","马自达
AWD 2.5
AWD 20
AWD
AWD",22.537412722674855,52.55779199490404,53.263198065211526,128.57142857142858,0.7217342257499695,0.8130670785903931,0.764683187007904,0.70234375,0.6499698758125305
zh/f3/68/zh_10902172.jpg,"43
2.5
2.5
29
2.41","الحديد العامر
STEELMATE
43 2.5
29 2.4
2.5 28 Bar
2.5 29","43
2.5
2.5
29
2.41",35.84668928097086,49.28098111148732,49.67895868342631,180.0,0.7190001010894775,0.8123722076416016,0.7628396153450012,0.7495798319327731,0.6236829161643982
zh/fa/2f/zh_10007882.jpg,"ياللو
Yaloo","يا لوي  
Yaloo  
يا لوي  
Yaloo","雅鹿
Yaloo",8.116697886877475,37.00368190566673,32.316405481031516,250.0,0.810532808303833,0.8360706567764282,0.823103666305542,0.20833333333333334,0.7010006308555603
zh/fc/9d/zh_10023892.jpg,"73
F-2
3240
51683484","عشر سنوات من السرعة العسكرية - متجر الخصم
الصورة الحقيقية للتصوير ، الرجاء التحقق بعناية
خط الطلب: 15616843848","73
F-2
3240
51683484",0.0,7.348853421594213,5.5116400661956595,450.0,0.5957460403442383,0.6713578701019287,0.6312959790229797,0.0,0.35990607738494873
zh/18/05/zh_10891610.jpg,جي يي شي,"جليكس
JIYIXI
القماش نموذج
جليكس
JIYIXI","吉宜喜
Jiyixi",0.0,5.847953216374269,4.385964912280702,200.0,0.5869454145431519,0.6020967364311218,0.5944245457649231,0.0,0.41269537806510925
zh/d0/1f/zh_10879271.jpg,"70 كيلو باسكال
115 درجة مئوية
1000 واط","لحم مطبوخ ناعم، لذيذ وغائر في العظم
70kPa 115°C 1000W
ضغط آمن عالي الحرارة تدفئة متساوية للصينية","70 kPa
115°C
1000W
",2.3901021968803136,17.78572675358715,13.33929506519036,212.5,0.6346278190612793,0.6532641649246216,0.6438111066818237,0.16129032258064518,0.461396723985672
zh/9c/f3/zh_10880771.jpg,"VOLVO
VOLVO
VOLVO","فولفو
فولفو
فولفو","VOLVO
VOLVO
VOLVO",0.0,0.0,0.0,100.0,0.7946865558624268,0.8038792610168457,0.799256443977356,0.0,0.4335392415523529
zh/b7/94/zh_10817716.jpg,"H01#
H02#
H03#
H04#","H01#  
وهم الكرز الخفيف  

H02#  
أحمر كلاسيكي مُعَادٌ  

H03#  
برتقالي كراميل حلو  

H04#  
برتقالي شاي أحمر","H01#
H02#
H03#
H04#
",16.564565321939206,24.382871004545496,34.22901938758371,150.0,0.5970660448074341,0.7767345905303955,0.6751515865325928,0.8922558922558923,0.37833264470100403
zh/0e/e2/zh_10019123.jpg,"فرح
فرح
فرح
فرح","الفرح السعادة
أنا أحبك دائمًا","喜
喜
喜
喜",0.0,8.342449584431852,6.256837188323888,125.0,0.5923739671707153,0.561823844909668,0.5766945481300354,0.0,0.49054667353630066
zh/cd/cc/zh_10760076.jpg,65,"النَّهان كِتِن أثاث مَعْدُود
NAMANKETINJIAJU
55
NaHanKeTing",65,0.0,4.098360655737705,2.73224043715847,700.0,0.43463587760925293,0.5992734432220459,0.5038464069366455,0.0,0.36447444558143616
