img,reference,predicts,source,BLEU,CHRF,CHRF++,TER,BERT-P,BERT-R,BERT-F1,METEOR,COMET
zh/b4/9c/zh_10844713.jpg,"68%
2%
30%","68%
두부 고양이 모래
천연 소재
빠른 용해

황금 혼합비율
강력한 성능 혼합

2%
청색 제취 인자
강력 제취 자유 호흡

30%
팽윤토
결속력 강함 흡수성 우수","68%
2%
30%
",3.770678435743332,13.632278711217635,21.29254835593163,400.0,0.5427379012107849,0.7523823380470276,0.6305922865867615,0.6392045454545456,0.3287251591682434
zh/64/2f/zh_10856253.jpg,"30%
10%
60%","팽윤토 고양이 모래  
30%  
60%  
두부 고양이 모래  
10%  
STA 제거 요인","30%
10%
60%",12.874330508144842,33.01729837409357,42.127141462745975,166.66666666666669,0.6157141327857971,0.7783344388008118,0.6875391602516174,0.6091269841269841,0.3684560358524322
zh/83/35/zh_10026324.jpg,SAER,"SA'ER
사에르 운동 야외 전문점",SAER,0.0,25.81652257444764,20.653218059558117,500.0,0.6192513108253479,0.7279772758483887,0.6692270636558533,0.0,0.5002717971801758
zh/2e/1b/zh_10823159.jpg,세이지,"SAGE 진세기  
일 | 간편 | 다용도 | 침대 | 소파",SAGE,0.0,5.05050505050505,3.787878787878788,1100.0,0.6059470176696777,0.6611982583999634,0.6323680877685547,0.0,0.3790151476860046
zh/f8/4d/zh_10938626.jpg,"GF-30
CE
UL
CQC","정성스러운 냉각 팬
https://shop145008617.taobao.com","GF-30
CE
UL
CQC",0.0,0.946969696969697,0.7102272727272726,225.0,0.5374564528465271,0.5867467522621155,0.5610210299491882,0.0,0.3595215678215027
zh/7a/a7/zh_10903819.jpg,지이시,"기이희  
JIYIXI  
기이희  
JIYIXI","吉宜喜
JIYIXI",0.0,5.555555555555555,4.166666666666666,400.0,0.6504666209220886,0.7334126234054565,0.6894538998603821,0.0,0.4614093899726867
zh/3e/52/zh_10917185.jpg,지이시,"기이희  
JIYIXI","吉宜喜

Jiyixi",0.0,7.936507936507936,5.9523809523809526,200.0,0.6632826924324036,0.7409087419509888,0.6999500393867493,0.0,0.6230528950691223
zh/b0/a5/zh_10854844.jpg,"보즈노이
❤️
행복한
귀여운","Boznoi  
차량용품  
행복  
귀여운","Boznoi
❤️
HAPPY
CUTE",8.51528917838043,12.49684169180652,12.520403252044456,75.0,0.7682187557220459,0.7952659130096436,0.7815083861351013,0.1470588235294117,0.6219736933708191
zh/e5/32/zh_10768610.jpg,"이상적인
L8
L9
L9
L7
L7","공마동항

이상 이상 이상
L8 L8 L8
L9 L9 L9
L7 L7

호화로운 업그레이드 등급 향상
이상 차량 로고에 적합하며 여러 가지 선택 가능","理想
L8
L9
L9
L7
L7",24.31884859214095,39.58779299008064,42.054431387738,316.66666666666663,0.6862049102783203,0.8140659332275391,0.7446869015693665,0.6971128045508211,0.4945564568042755
zh/ab/01/zh_10900083.jpg,"골디입
USB
MP3","GOLDVIP

USB/MP3
USB 복제 및 재생","GOLDYIP
USB
MP3",10.552670315936318,18.397277904813823,17.31250739324159,200.0,0.7243961095809937,0.7761936187744141,0.7494009137153625,0.4732510288065844,0.7611766457557678
